# file...... eplus_load.csv
# date...... Wed May 24 15:08:54 2023
# user...... root
# host...... (null)
# target.... meter 24
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_voltage_AB
2013-07-01 03:27:00 PDT,+49008.3978111,+15,+407.485+231.092j
2013-07-01 03:28:00 PDT,+49008.3978111,+15,+407.485+231.092j
2013-07-01 03:29:00 PDT,+49008.3978111,+15,+407.485+231.092j
2013-07-01 03:30:00 PDT,+49008.3978111,+15,+407.637+231.181j
2013-07-01 03:31:00 PDT,+49005.7756492,+15,+407.598+231.159j
2013-07-01 03:32:00 PDT,+49005.7756492,+15,+407.598+231.159j
2013-07-01 03:33:00 PDT,+49005.7756492,+15,+407.598+231.159j
2013-07-01 03:34:00 PDT,+49005.7756492,+15,+407.598+231.159j
2013-07-01 03:35:00 PDT,+49005.7756492,+15,+407.559+231.136j
2013-07-01 03:36:00 PDT,+49003.1487157,+15,+407.635+231.181j
2013-07-01 03:37:00 PDT,+49003.1487157,+15,+407.635+231.181j
2013-07-01 03:38:00 PDT,+49003.1487157,+15,+407.635+231.181j
2013-07-01 03:39:00 PDT,+49003.1487157,+15,+407.635+231.181j
2013-07-01 03:40:00 PDT,+49003.1487157,+15,+407.668+231.2j
2013-07-01 03:41:00 PDT,+49000.5228212,+15,+407.602+231.162j
2013-07-01 03:42:00 PDT,+49000.5228212,+15,+407.602+231.162j
2013-07-01 03:43:00 PDT,+49000.5228212,+15,+407.602+231.162j
2013-07-01 03:44:00 PDT,+49000.5228212,+15,+407.602+231.162j
2013-07-01 03:45:00 PDT,+49000.5228212,+15,+407.559+231.136j
2013-07-01 03:46:00 PDT,+48997.8924649,+15,+407.663+231.198j
2013-07-01 03:47:00 PDT,+48997.8924649,+15,+407.663+231.198j
2013-07-01 03:48:00 PDT,+48997.8924649,+15,+407.663+231.198j
2013-07-01 03:49:00 PDT,+48997.8924649,+15,+407.663+231.198j
2013-07-01 03:50:00 PDT,+48997.8924649,+15,+407.733+231.239j
2013-07-01 03:51:00 PDT,+48995.2597651,+15,+407.564+231.14j
2013-07-01 03:52:00 PDT,+48995.2597651,+15,+407.564+231.14j
2013-07-01 03:53:00 PDT,+48995.2597651,+15,+407.564+231.14j
2013-07-01 03:54:00 PDT,+48995.2597651,+15.0000000025,+407.564+231.14j
2013-07-01 03:55:00 PDT,+48995.2597651,+15,+407.446+231.07j
2013-07-01 03:56:00 PDT,+48992.6259273,+15,+407.426+231.059j
2013-07-01 03:57:00 PDT,+48992.6259273,+15,+407.426+231.059j
2013-07-01 03:58:00 PDT,+48992.6259273,+15,+407.426+231.059j
2013-07-01 03:59:00 PDT,+48992.6259273,+15,+407.426+231.059j
2013-07-01 04:00:00 PDT,+48992.6259273,+15,+407.445+231.07j
2013-07-01 04:01:00 PDT,+48989.991061,+15,+407.483+231.092j
2013-07-01 04:02:00 PDT,+48989.991061,+15,+407.483+231.092j
